timestamp,value
3 AUG,13819591
4 AUG,7914763
5 AUG,10682504
6 AUG,10036137
7 AUG,17619190
8 AUG,19206738
9 AUG,14756317
10 AUG,11974685
11 AUG,13592923
12 AUG,7735838
13 AUG,32409598
14 AUG,20185860
15 AUG,9224581
16 AUG,18406245
17 AUG,15792466
18 AUG,32717772
19 AUG,22870824
20 AUG,42473557
21 AUG,55056796
22 AUG,16520135
23 AUG,18261649
24 AUG,6130523
25 AUG,11076330
26 AUG,13113782
27 AUG,16858222
28 AUG,209194029
29 AUG,57788296438
30 AUG,56154004615
31 AUG,103289676941
1 SEP,61839540927
